handle,display_name,account_url,categories
karpathy,Andrej Karpathy,https://twitter.com/karpathy,AI & ML|Tech News
ylecun,Yann LeCun,https://twitter.com/ylecun,AI & ML|Tech News
goodfellow_ian,Ian Goodfellow,https://twitter.com/goodfellow_ian,AI & ML
AndrewYNg,Andrew Ng,https://twitter.com/AndrewYNg,AI & ML|Startups
hardmaru,David Ha,https://twitter.com/hardmaru,AI & ML|Developer Tools
emollick,Ethan Mollick,https://twitter.com/emollick,AI & ML|Startups|Marketing
sama,Sam Altman,https://twitter.com/sama,AI & ML|Startups|Tech News
gdb,Greg Brockman,https://twitter.com/gdb,AI & ML|Developer Tools|Startups
fchollet,François Chollet,https://twitter.com/fchollet,AI & ML
lexfridman,Lex Fridman,https://twitter.com/lexfridman,AI & ML|Tech News
jeremyphoward,Jeremy Howard,https://twitter.com/jeremyphoward,AI & ML|Startups
lilianweng,Lilian Weng,https://twitter.com/lilianweng,AI & ML
VitalikButerin,Vitalik Buterin,https://twitter.com/VitalikButerin,Crypto & Web3|Startups
cz_binance,Changpeng Zhao,https://twitter.com/cz_binance,Crypto & Web3|Marketing
balajis,Balaji Srinivasan,https://twitter.com/balajis,Crypto & Web3|Startups|Tech News
APompliano,Anthony Pompliano,https://twitter.com/APompliano,Crypto & Web3|Marketing
hasufl,Hasu,https://twitter.com/hasufl,Crypto & Web3|Tech News
lawmaster,Larry Cermak,https://twitter.com/lawmaster,Crypto & Web3|Tech News
sassal0x,Sassal,https://twitter.com/sassal0x,Crypto & Web3|Tech News
rleshner,Robert Leshner,https://twitter.com/rleshner,Crypto & Web3|Startups
haydenzadams,Hayden Adams,https://twitter.com/haydenzadams,Crypto & Web3|Developer Tools
cdixon,Chris Dixon,https://twitter.com/cdixon,Crypto & Web3|Startups|Tech News
hnshah,Hiten Shah,https://twitter.com/hnshah,Marketing|Startups|SaaS
jhooks,Joel Hooks,https://twitter.com/jhooks,Marketing|Startups
andrewchen,Andrew Chen,https://twitter.com/andrewchen,Marketing|Startups|Tech News
randfish,Rand Fishkin,https://twitter.com/randfish,Marketing|Startups
AprilDunford,April Dunford,https://twitter.com/AprilDunford,Marketing|Startups
neilpatel,Neil Patel,https://twitter.com/neilpatel,Marketing
thejustinwelsh,Justin Welsh,https://twitter.com/thejustinwelsh,Marketing|SaaS|Indie Hacking
katelynbourgoin,Katelyn Bourgoin,https://twitter.com/katelynbourgoin,Marketing
pmarca,Marc Andreessen,https://twitter.com/pmarca,Startups|AI & ML|Tech News
paulg,Paul Graham,https://twitter.com/paulg,Startups
ycombinator,Y Combinator,https://twitter.com/ycombinator,Startups|Tech News
garrytan,Garry Tan,https://twitter.com/garrytan,Startups|Tech News
jason,Jason Calacanis,https://twitter.com/jason,Startups|Marketing|Tech News
chamath,Chamath Palihapitiya,https://twitter.com/chamath,Startups|Tech News
